relation_id,sentence_id,description,is_true,expectation,words,p_start,p_length,c_start,c_length
660767@3_7-660767@3_13,660767@3,Miller-Pilsner Urquell,,0.586,"{Its,brands,include,Fosters,"","",Grolsch,"","",Miller,"","",Peroni,Nastro,Azzurro,and,Pilsner,Urquell,.}",7,1,13,2
31420359@31_52-31420359@31_5,31420359@31,Thomas Donohue-Stonebridge,,0.494,"{As,of,early,2009,"","",Stonebridge,'s,Board,of,Advisors,were,former,Citigroup,chairman,and,CEO,Charles,Prince,"","",Roger,Altman,-LRB-,Deputy,Treasury,Secretary,from,1993-1995,in,the,Clinton,Administration,-RRB-,"","",former,Congressional,Representative,Lee,H.,Hamilton,"","",president,and,chief,executive,officer,of,the,U.S.,Chamber,of,Commerce,"","",Thomas,Donohue,"","",president,and,CEO,of,the,National,Association,of,Chain,Drug,Stores,"","",Craig,Fuller,"","",chairman,and,CEO,of,Somerset,&,Company,Richard,Trutanic,"","",and,former,president,of,Mexico,Ernesto,Zedillo,.}",52,2,5,1
27555288@8_8-27555288@8_4,27555288@8,Nathan Winograd-United Animal Nations,,0.296,"{Subsequent,beneficiaries,have,included,United,Animal,Nations,"","",Nathan,Winograd,'s,No-Kill,Advocacy,Center,"","",and,the,Elmsford,Animal,Shelter,-LSB-,http://www.elmsfordanimalshelter.com/],.}",8,2,4,3
4274034@23_45-4274034@23_41,4274034@23,Bamberger-The Downtowner Club,,0.544,"{In,the,immediate,post-World,War,II,years,"","",selling,space,was,reduced,to,run,from,the,second,basement,to,the,seventh,floor,"","",and,the,tenth-floor,restaurant,complex,was,leased,to,a,third,party,and,became,a,private,dining,club,"","",The,Downtowner,Club,-LRB-,Bamberger,'s,would,use,the,space,on,Saturdays,for,occasional,special,events,-RRB-,.}",45,1,41,3
1425026@56_9-1425026@56_1,1425026@56,Jennifer Connelly-House of Balenciaga,,0.696,"{The,House,of,Balenciaga,designed,the,dresses,worn,by,Jennifer,Connelly,and,Nicole,Kidman,to,the,2006,Academy,Awards,"","",as,well,as,the,wedding,gown,Kidman,wore,when,she,married,Keith,Urban,.}",9,2,1,3
2204991@45_10-2204991@45_29,2204991@45,Roger Moxham-Mitchells,,0.32,"{The,deal,was,monitored,and,completed,by,then,Managing,Director,Roger,Moxham,"","",who,spent,2,weeks,meeting,with,lawyers,and,representatives,to,make,one,of,the,biggest,deals,Mitchells,and,Butlers,ever,completed,.}",10,2,29,1
33795577@18_4-33795577@18_9,33795577@18,Schnitzer-Israel Diamond Exchange,,0.402,"{From,1967,to,1993,Schnitzer,was,President,of,the,Israel,Diamond,Exchange,.}",4,1,9,3
1124890@70_29-1124890@70_35,1124890@70,Dudley-Walsall,,0.494,"{In,March,2010,"","",extant,Committees,were,listed,as,:,The,Integrated,Transport,Authority,has,seven,Transport,Users,',Forums,covering,the,district,areas,of,Birmingham,"","",Coventry,"","",Dudley,"","",Sandwell,"","",Solihull,"","",Walsall,and,Wolverhampton,.}",29,1,35,1
1661763@55_16-1661763@55_12,1661763@55,Hecht-Robinsons-May,,0.528,"{May,s,seven,divisions,now,included,Foley,s,"","",Filene,'s,"","",Robinsons-May,"","",Famous-Barr,"","",Hecht,'s,"","",Lord,&,Taylor,"","",and,Marshall,Field,'s,.}",16,1,12,1
7742@92_16-7742@92_44,7742@92,Canion-Compaq,,0.492,"{Rosen,and,Canion,had,disagreed,about,how,to,counter,the,cheaper,Asian,PC,imports,"","",as,Canion,wanted,Compaq,to,build,lower,cost,PCs,with,components,developed,in-house,in,order,to,preserve,Compaq,'s,reputation,for,engineering,and,quality,"","",while,Rosen,believed,that,Compaq,needed,to,buy,standard,components,from,suppliers,and,reach,the,market,faster,.}",16,1,44,1
339047@118_9-339047@118_3,339047@118,W. Galen Weston-Loblaw,,0.45,"{In,September,"","",Loblaw,President,John,Lederer,and,Chairman,W.,Galen,Weston,resigned,.}",9,3,3,1
5789453@59_30-5789453@59_12,5789453@59,Jones Intercable-Cogeco Cable,,0.346,"{This,included,:,Cablevision,Systems,"","",Century,Communications,"","",Charter,Communications,"","",Cogeco,Cable,"","",Comcast,"","",Cox,Communications,"","",Garden,State,Cable,"","",Insight,Communications,"","",InterMedia,Partners,"","",Jones,Intercable,"","",Midcontinent,Cable,"","",Prime,Cable,"","",Rogers,Cablesystems,"","",Shaw,Communications,"","",Suburban,"","",Susquehanna,Communications,"","",and,Videon,CableSystems,with,access,to,over,60,million,households,.}",30,2,12,2
1734638@12_402-1734638@12_37,1734638@12,Bexhill-House,,0.466,"{Awards,include,:,<br>,RIAI,Best,Health,&,Leisure,Project,Award,Winner,:,Alzheimer,'s,Respite,Centre,"","",2010,<br>,RIBA,European,Award,Winner,:,Alzheimer,'s,Respite,Centre,"","",2010,<br>,RIBA,European,Award,Winner,:,House,at,Goleen,"","",2010,<br>,AAI,Special,Award,Winner,:,Alzheimer,'s,Respite,Centre,"","",2010,<br>,AIA,Excellence,in,Design,Award,for,Housing,Winner,:,House,at,Goleen,"","",2010,<br>,Wood,Award,"","",Structural,Winner,:,Cafe,/,Bar,"","",Deal,Pier,"","",2009,<br>,RIBA,Award,:,Cafe,/,Bar,"","",Deal,Pier,"","",2009,<br>,RIBA,Award,:,Pedestrian,Bridge,"","",Bristol,"","",2009,<br>,RIBA,Award,:,House,"","",Hertfordshire,"","",2009,<br>,RIBA,European,Award,:,House,"","",Dublin,"","",2009,<br>,American,Institute,of,Architects,Award,for,Design,Excellence,:,Cafe,/,Bar,"","",Deal,Pier,"","",2009,<br>,RIBA,Award,:,Built,Environment,Centre,"","",Hull,"","",2006,<br>,RIBA,White,Rose,Award,for,Design,and,Quality,:,Built,Environment,Centre,"","",Hull,"","",2006,<br>,RIBA,Client,of,the,Year,Award,for,the,Yorkshire,and,Humber,Region,:,Built,Environment,Centre,"","",Hull,"","",2006,<br>,American,Institute,of,Architects,Award,for,Design,Excellence,:,Built,Environment,Centre,"","",Hull,"","",2006,<br>,AAI,Award,:,House,in,Crouch,End,"","",2006,<br>,Civic,Trust,Award,:,Peabody,Low,Cost,Housing,"","",2006,<br>,Stephen,Lawrence,Prize,for,Best,Building,Under,1,Million,"","",Awarded,at,the,Stirling,Prize,:,House,Clonakilty,"","",2005,<br>,RIBA,European,Award,:,House,Clonakilty,"","",2005,<br>,RIBA,Award,:,Peabody,Low,Cost,Housing,"","",2005,<br>,RIAI,Award,:,House,Clonakilty,"","",2005,<br>,RIAI,Award,:,Peabody,Low,Cost,Housing,"","",2005,<br>,RIAI,Award,for,Best,Building,in,the,Landscape,:,House,Clonakilty,"","",2005,<br>,AAI,Award,:,Peabody,Low,Cost,Housing,"","",2005,<br>,Mies,van,der,Rohe,Award,:,House,Clonakilty,"","",Short-list,"","",2005,<br>,RIBA,Future,House,Award,:,Winner,"","",Houseboat,"","",2004,<br>,RIAI,Award,:,Oxford,Architecture,School,"","",Digital,Studio,"","",2003,<br>,RIAI,Award,:,Apartments,"","",Kensington,"","",2003,<br>,RIBA,Award,:,Jacobs,Ladder,"","",Chinnor,"","",2002,<br>,RIBA,Award,:,Bandstand,"","",Bexhill,"","",2002,<br>,RIAI,Award,:,Jacobs,Ladder,"","",Chinnor,"","",2002,<br>,RIAI,Award,:,Bandstand,"","",Bexhill,"","",2002,<br>,International,AR+D,Awards,:,Bandstand,"","",Bexhill,"","",highly,commended,"","",2002,<br>,Fellow,of,The,RIAI,"","",for,Architectural,Achievement,"","",2001,<br>,Royal,Academy,Award,:,Best,work,by,first,time,exhibitor,"","",2001,<br>,RIAI,Award,:,Photographer,'s,Hide,"","",Northamptonshire,"","",1999,<br>,Young,British,Architect,of,the,Year,"","",1998,<br>,RIAI,Award,:,Troy,Court,Swimming,Pool,"","",London,"","",1997,<br>,Daily,Telegraph,House,of,the,Year,:,Knightsbridge,House,"","",1997,<br>,RIAI,Award,:,Carmelite,Monastery,"","",London,"","",1996,<br>}",402,1,37,1
28205821@33_13-28205821@33_8,28205821@33,Andrea Evans-Maryland International Raceway,,0.448,"{The,car,debuted,at,World,Cup,Finals,at,Maryland,International,Raceway,piloted,by,Andrea,Evans,but,had,issues,preventing,it,from,running,.}",13,2,8,3
14555878@2_44-14555878@2_34,14555878@2,Nikolai Lobachevsky-Lobachevsky State University of Gorky,,0.488,"{From,1932,to,1956,"","",its,name,was,``,State,University,of,Gorky,'',from,1932,to,1990,the,city,of,Nizhny,Novgorod,was,known,as,Gorky,and,from,1956,to,1990,the,``,Lobachevsky,State,University,of,Gorky,'',after,great,Russian,mathematician,Nikolai,Lobachevsky,.}",44,2,34,5
145190@67_7-145190@67_5,145190@67,Ivana Bacik-University,,0.754,"{The,current,representatives,of,the,University,are,Ivana,Bacik,"","",Sean,Barrett,and,David,Norris,.}",7,2,5,1
1470203@5_48-1470203@5_35,1470203@5,Harrison-RN Dale,,0.334,"{The,China,Navigation,Company,was,formed,in,London,in,1872,with,a,capital,of,""360,000"",chiefly,put,up,by,John,Samuel,Swire,and,WH,Swire,with,Alfred,Holt,"","",Rathbone,'s,"","",TH,Ismay,"","",RN,Dale,"","",John,Scott,"","",T,Barlow,and,William,Imrie,and,T&J,Harrison,supplying,additional,money,.}",48,1,35,2
2015837@37_89-2015837@37_99,2015837@37,Loren R. Graham-Massachusetts Institute of Technology,,0.424,"{Other,Advisory,Council,members,are,:,Mr.,Nils,Bruzelius,"","",Executive,Editor,and,Vice-President,for,Publications,"","",Environmental,Working,Group,;,Dr.,Gail,H.,Cassell,"","",Vice,President,of,scientific,affairs,and,distinguished,research,scholar,for,infectious,diseases,"","",Eli,Lilly,and,Company,;,Mr.,Vinton,G.,Cerf,"","",vice,president,and,chief,Internet,evangelist,"","",Google,;,Ambassador,James,Franklin,Collins,"","",director,and,senior,associate,and,diplomat,in,residence,"","",Carnegie,Endowment,for,International,Peace,;,Dr.,Rita,Colwell,"","",Chairman,and,President,of,CosmosID,;,Dr.,Loren,R.,Graham,"","",professor,of,history,and,science,"","",Massachusetts,Institute,of,Technology,;,Dr.,William,V.,Harris,"","",president,and,CEO,of,the,Science,Foundation,Arizona,;,Dr.,Siegfried,S.,Hecker,"","",senior,fellow,and,former,director,of,Los,Alamos,National,Laboratory,;,Dr.,Najmedin,Meshkati,"","",Professor,of,Civil/Environmental,Engineering,and,Professor,of,Industrial,and,Systems,Engineering,"","",University,of,Southern,California,;,Dr.,Richard,Murphy,"","",former,president,and,CEO,of,the,Salk,Institute,for,Biological,Studies,;,and,Dr.,Peter,Raven,"","",director,of,the,Missouri,Botanical,Garden,.}",89,3,99,4
16860477@1_21-16860477@1_2,16860477@1,Marc Ellis-Charlie 's Group Limited,,0.83,"{Charlie,'s,Charlie,'s,Group,Limited,is,a,New,Zealand,producer,of,beverage,drinks,founded,in,1999,by,three,friends,"","",Marc,Ellis,"","",Stefan,Lepionka,and,Simon,Neal,.}",21,2,2,4
364614@49_23-364614@49_48,364614@49,Allen-Pinkerton Company,,0.696,"{Liggett,&,Myers,kept,control,of,the,following,plants,:,Liggett,and,Myers,"","",St.,Louis,;,Spaulding,and,Merrick,"","",Chicago,;,Allen,and,Ginter,"","",Richmond,;,smoking,tobacco,factory,in,Chicago,;,Nall,and,Williams,"","",Louisville,;,John,Bollman,Company,"","",San,Francisco,;,Pinkerton,Company,"","",Toledo,;,W.,R.,Irby,"","",New,Orleans,;,two,cigar,factories,in,Baltimore,and,Philadelphia,"","",and,the,Duke-Durham,branch,of,the,American,Tobacco,Company,.}",23,1,48,2
471752@76_24-471752@76_42,471752@76,Adams-NWA,,0.408,"{Sunshine,"","",who,previously,was,Garvin,'s,valet,"","",joined,Adams,',side,two,weeks,later,"","",and,with,Sunshine,in,his,corner,"","",Adams,defeated,Garvin,for,the,American,title,on,November,24,at,Reunion,Arena,;,the,first,of,five,NWA,American/World,Class,heavyweight,title,reigns,for,the,British,star,.}",24,1,42,1
4280148@121_14-4280148@121_8,4280148@121,Scott-Florida Senate,,0.634,"{In,response,"","",a,veto-proof,majority,in,the,Florida,Senate,approved,a,letter,rebuking,Scott,and,asking,the,Department,of,Transportation,to,continue,funding,.}",14,1,8,2
743822@43_40-743822@43_22,743822@43,Donald Keough-Chicago Cubs,,0.492,"{Alumni,include,:,past,university,president,Rev.,Timothy,R.,Lannon,"","",SJ,;,the,founder,of,TD,Ameritrade,and,owner,of,the,Chicago,Cubs,"","",J.,Joseph,Ricketts,;,the,former,president,and,chief,operating,officer,of,Coca,Cola,"","",Donald,Keough,;,an,astronaut,killed,in,the,Space,Shuttle,``,Columbia,'',disaster,"","",Michael,P.,Anderson,;,and,several,professional,athletes,"","",including,Doug,McDermott,"","",Kyle,Korver,"","",and,Major,League,Baseball,Hall,of,Fame,pitcher,Bob,Gibson,"","",.}",40,2,22,2
4792909@7_25-4792909@7_10,4792909@7,Henry Middleton Crane-Crane Motor Car Company,,0.926,"{The,firm,became,``,Crane-Simplex,'',after,purchase,of,the,Crane,Motor,Car,Company,of,Bayonne,"","",New,Jersey,"","",which,had,been,founded,by,Henry,Middleton,Crane,"","",in,1915,.}",25,3,10,4
1983033@76_9-1983033@76_37,1983033@76,Anurag Dikshit-Harvard,,0.494,"{Its,primary,shareholders,were,Parasol,"","",Group,Operations,Director,Anurag,Dikshit,"","",Marketing,Director,Vikrant,Bhargava,-LRB-,who,joined,the,company,in,1998,and,1999,"","",respectively,-RRB-,"","",and,Russ,DeLeon,-LRB-,Parasol,'s,ex-husband,"","",Harvard,attorney,and,serial,entrepreneur,-RRB-,.}",9,2,37,1
9009434@10_33-9009434@10_37,9009434@10,Molde Bilruter-S&T,,0.4,"{In,1996,and,1997,HOB,purchased,and/or,merged,with,M,relinjen,-LRB-,based,in,Sunndals,ra,-RRB-,"","",lvundfjord,Skysslag,"","",Nordm,te,Trafikkselskap,-LRB-,including,the,city,bus,in,Kristiansand,-RRB-,and,Molde,Bilruter,"","",with,S&T,in,the,end,owning,50.1,%,of,the,company,.}",33,2,37,1
483474@90_11-483474@90_22,483474@90,Suzy-Revlon,,0.602,"{At,one,point,"","",he,refused,to,hire,her,anymore,because,Suzy,complained,about,the,``,peanut,'',paycheck,she,received,from,Revlon,.}",11,1,22,1
638553@52_39-638553@52_18,638553@52,Ida V. Moffett-Brock School of Business,,0.392,"{The,university,is,divided,into,the,School,of,the,Arts,"","",Howard,College,of,Arts,and,Science,"","",Brock,School,of,Business,"","",Beeson,Divinity,School,"","",Orlean,Bullard,Beeson,School,of,Education,"","",Cumberland,School,of,Law,"","",Ida,V.,Moffett,School,of,Nursing,"","",McWhorter,School,of,Pharmacy,"","",School,of,Health,Professions,and,School,of,Public,Health,.}",39,3,18,4
29640624@23_22-29640624@23_43,29640624@23,McGarryBowen-Verizon,,0.422,"{Subsequently,"","",Legend3D,has,worked,on,award-winning,3D,commercials,with,global,advertising,agencies,including,TBWA/Chiat/Day,"","",Ogilvy,&,Mather,"","",Y&R,"","",McGarryBowen,and,Disney,s,Yellow,Shoes,Creative,Group,for,brands,such,as,Target,"","",Coke,Zero,"","",Chase,"","",Disney,"","",Verizon,"","",Qatar,Foundation,Radio,and,Hampton,Inn,.}",22,1,43,1
1312374@19_6-1312374@19_13,1312374@19,Tokushichi Nomura II-Tokushichi Nomura,,0.39,"{It,was,named,after,its,founder,Tokushichi,Nomura,II,"","",the,son,of,Tokushichi,Nomura,and,a,wealthy,Japanese,stockbroking,tycoon,.}",6,3,13,2
1568097@25_36-1568097@25_0,1568097@25,Daniel-Erasmus MC,,0.614,"{Erasmus,MC,is,the,new,name,for,the,university,medical,centre,in,Rotterdam,"","",which,is,a,merger,of,the,Faculty,of,Medicine,and,Health,Sciences,and,the,University,Hospital,Rotterdam,-LRB-,Dijkzigt,"","",Sophia,"","",Daniel,den,Hoed,clinic,-RRB-,.}",36,1,0,2
33227382@39_48-33227382@39_39,33227382@39,Yinyue Hu-Institute of History of Shanghai Academy of Social Sciences,,0.49,"{Dr.,Jinfa,Cai,-LRB-,-RRB-,:,Professor,"","",Department,of,Mathematical,Sciences,"","",University,of,Delaware,Feifang,Hu,-LRB-,-RRB-,:,Professor,"","",Department,of,Statistics,"","",University,of,Virginia,Dr.,Xueqiang,Ma,-LRB-,-RRB-,:,Researcher,Fellow,"","",Institute,of,History,of,Shanghai,Academy,of,Social,Sciences,Yinyue,Hu,-LRB-,-RRB-,:,Head,"","",the,Institute,of,Musicology,of,The,Central,Conservatory,of,Music,Xiong,Ying,-LRB-,-RRB-,:,President,"","",Zhejiang,Wanli,Education,Group,Shengyuan,Xu,-LRB-,-RRB-,:,Professor,"","",School,of,Electrical,Engineering,and,Automation,"","",Nanjing,University,of,Science,and,Technology,Shumeng,Huang,-LRB-,-RRB-,:,National,Second-Class,Professor,;,former,Vice,President,of,Zhejiang,University}",48,2,39,9
17341760@12_16-17341760@12_40,17341760@12,Bolton Wanderers-Dundee United,,0.498,"{Football,teams,that,have,worn,kits,produced,by,Bukta,include,Aberdeen,"","",Ajax,"","",Arsenal,"","",Bolton,Wanderers,"","",Bradford,City,"","",Bristol,Rovers,"","",Charlton,Athletic,"","",Chesterfield,F.C.,"","",Crystal,Palace,"","",Derby,County,"","",Dundee,F.C.,"","",Dundee,United,"","",Everton,"","",Hearts,"","",Hibernian,F.C.,"","",Huddersfield,Town,"","",Hull,City,"","",Leicester,City,"","",Leyton,Orient,"","",Limavady,United,"","",Manchester,United,"","",Middlesbrough,"","",Millwall,"","",Motherwell,"","",Newcastle,United,"","",Nottingham,Forest,"","",Plymouth,Argyle,"","",Port,Vale,"","",Rochdale,"","",Scunthorpe,United,"","",Sevilla,FC,"","",Sheffield,Wednesday,"","",Stranraer,"","",Swansea,City,A.F.C.,"","",Vitesse,Arnhem,"","",Watford,"","",Wolves,and,West,Ham,.}",16,2,40,2
16892577@177_13-16892577@177_29,16892577@177,Jack Cowin-Burger King,,0.824,"{As,a,result,of,Burger,King,'s,actions,"","",Hungry,Jack,'s,owner,Jack,Cowin,and,his,private,holding,company,Competitive,Foods,Australia,began,legal,proceedings,in,2001,against,Burger,King,'s,parent,Burger,King,Corporation,with,a,counter-claim,that,the,company,had,violated,the,conditions,of,the,master,franchising,agreement,and,was,in,breach,of,the,contract,.}",13,2,29,2
98642@73_49-98642@73_166,98642@73,Primrose-Electric Blue,,0.508,"{Here,are,76,:,Classic,:,Red,"","",Orange,"","",Yellow,"","",Green,"","",Blue,"","",Violet,-LRB-,Purple,-RRB-,"","",Pink,"","",Gray,"","",Black,"","",Brown,Bold,:,Raspberry,"","",Copper,"","",Pumpkin,"","",Golden,Yellow,"","",Emerald,"","",Kiwi,"","",Teal,"","",Azure,"","",Plum,"","",Primrose,"","",Bittersweet,"","",Citrine,"","",Iguana,Green,"","",Royal,Purple,"","",Turquoise,"","",Tiger,Orange,Bright,:,Infra,Red,"","",Orange,Circuit,"","",Laser,Lemon,"","",Electric,Lime,"","",Graphic,Green,"","",Battery,Charged,Blue,"","",Blue,Bolt,"","",Ultra,Violet,"","",Hot,Magenta,"","",Hot,Pink,Tropical,:,Coral,Reef,"","",Sandy,Tan,"","",Sea,Foam,Green,"","",Palm,Leaf,"","",Turquoise,Surf,"","",Blue,Lagoon,"","",Dolphin,Gray,"","",Tropical,Violet,"","",Wild,Orchid,"","",Parrot,Pink,"","",Flamingo,Pink,Multicultural,:,Beige,"","",Golden,Beige,"","",Terra,Cotta,"","",Mahogany,"","",Sienna,"","",Tan,"","",Bronze,"","",Tawny,"","",Apricot,"","",Sepia,Fluorescent,:,Fiery,Orange,"","",Neon,Yellow,"","",Glowing,Green,"","",Electric,Blue,"","",Shocking,Pink,"","",Hot,Magenta,Glitter,:,Fire,Flecks,"","",Gold,Dust,"","",Emerald,Zest,"","",Blue,Blazes,"","",Violet,Glitz,"","",Silver,Sparks,Metallic,:,Copper,Mine,"","",Gold,Ingot,"","",Green,Machine,"","",Cobalt,Blue,"","",Purple,Steel,"","",Black,Iron,"","",Slick,Silver,"","",Pink,Bling,Gel,Markers,:,Rose,"","",Yellow,"","",Lime,"","",Sky,Blue,"","",Purple,"","",Magenta,"","",White,"","",Slate,There,is,also,a,50,pack,of,``,Supertips,'',by,Crayola,which,include,12,special,scented,markers,:,Cherry,"","",Wild,Berry,"","",Orange,"","",Honeysuckle,"","",Lemon,"","",Green,Apple,"","",Forest,Pine,"","",Fresh,Air,"","",Bay,Breeze,"","",Vanilla,"","",Burnt,Marshmallow,"","",Spice,.}",49,1,166,2
1916664@4_15-1916664@4_21,1916664@4,Germanischer Lloyd-Cotecna,,0.604,"{Its,main,competitors,are,Bureau,Veritas,"","",Intertek,"","",Control,Union,"","",T,V,"","",Germanischer,Lloyd,-LRB-,GL,-RRB-,and,Cotecna,-LRB-,in,the,sphere,of,verification,and,certification,services,-RRB-,and,Core,Laboratories,"","",Inc.,-LRB-,in,the,sphere,of,the,goods,quality,and,quantity,inspection,-RRB-,.}",15,2,21,1
34273@385_195-34273@385_398,34273@385,Sam Waterston-Time Warner,,0.518,"{Among,the,best-known,are,U.S.,Presidents,William,Howard,Taft,"","",Gerald,Ford,"","",George,H.,W.,Bush,"","",Bill,Clinton,and,George,W.,Bush,;,royals,Victoria,Bernadotte,"","",Prince,Rostislav,Romanov,and,Prince,Akiiki,Hosea,Nyabongo,;,heads,of,state,"","",including,Italian,prime,minister,Mario,Monti,"","",Turkish,prime,minister,Tansu,iller,"","",Mexican,president,Ernesto,Zedillo,"","",German,president,Karl,Carstens,"","",and,Philippines,president,Jos,Paciano,Laurel,;,U.S.,Supreme,Court,Justices,Sonia,Sotomayor,"","",Samuel,Alito,and,Clarence,Thomas,;,U.S.,Secretaries,of,State,John,Kerry,"","",Hillary,Rodham,Clinton,"","",Cyrus,Vance,"","",and,Dean,Acheson,;,authors,Sinclair,Lewis,"","",Stephen,Vincent,Ben,t,"","",and,Tom,Wolfe,;,lexicographer,Noah,Webster,;,inventors,Samuel,F.,B.,Morse,and,Eli,Whitney,;,patriot,and,``,first,spy,'',Nathan,Hale,;,theologian,Jonathan,Edwards,;,actors,"","",directors,and,producers,Paul,Newman,"","",Henry,Winkler,"","",Vincent,Price,"","",Meryl,Streep,"","",Sigourney,Weaver,"","",Jodie,Foster,"","",Angela,Bassett,"","",Courtney,Vance,"","",Frances,McDormand,"","",Elia,Kazan,"","",George,Roy,Hill,"","",Edward,Norton,"","",Lupita,Nyong,`,o,"","",Allison,Williams,"","",Oliver,Stone,"","",Sam,Waterston,"","",and,Michael,Cimino,;,``,Father,of,American,football,'',Walter,Camp,"","",``,The,perfect,oarsman,'',Rusty,Wailes,;,baseball,players,Ron,Darling,and,Bill,Hutchinson,;,basketball,player,Chris,Dudley,;,football,players,Craig,Breslow,"","",Gary,Fencik,"","",and,Calvin,Hill,;,hockey,players,Chris,Higgins,and,Mike,Richter,;,figure,skater,Sarah,Hughes,;,swimmer,Don,Schollander,;,skier,Ryan,Max,Riley,;,runner,Frank,Shorter,;,composers,Charles,Ives,"","",Douglas,Moore,and,Cole,Porter,;,Peace,Corps,founder,Sargent,Shriver,;,child,psychologist,Benjamin,Spock,;,architects,Eero,Saarinen,and,Norman,Foster,;,sculptor,Richard,Serra,;,film,critic,Gene,Siskel,;,television,commentators,Dick,Cavett,and,Anderson,Cooper,;,New,York,Times,journalist,David,Gonzalez,;,pundits,William,F.,Buckley,"","",Jr.,"","",and,Fareed,Zakaria,;,economists,Irving,Fischer,"","",Mahbub,ul,Haq,"","",and,Paul,Krugman,;,cyclotron,inventor,and,Nobel,laureate,in,Physics,"","",Ernest,Lawrence,;,Human,Genome,Project,director,Francis,S.,Collins,;,mathematician,and,chemist,Josiah,Willard,Gibbs,;,and,businesspeople,"","",including,Time,Magazine,co-founder,Henry,Luce,"","",Morgan,Stanley,founder,Harold,Stanley,"","",Boeing,CEO,James,McNerney,"","",FedEx,founder,Frederick,W.,Smith,"","",Time,Warner,president,Jeffrey,Bewkes,"","",and,Electronic,Arts,co-founder,Bing,Gordon,.}",195,2,398,2
37270775@7_0-37270775@7_7,37270775@7,Garcia-ABS-CBN Corporation,,0.532,"{Garcia,serves,as,an,Independent,Director,of,ABS-CBN,Corporation,.}",0,1,7,2
1573210@13_35-1573210@13_12,1573210@13,Randolph-Merton College,,0.428,"{That,same,year,"","",1962,"","",Gilbert,was,made,a,Fellow,of,Merton,College,"","",Oxford,"","",and,he,spent,the,next,few,years,combining,his,own,research,projects,in,Oxford,with,being,part,of,Randolph,'s,research,team,in,Suffolk,"","",working,on,the,first,two,volumes,of,the,Churchill,biography,.}",35,1,12,2
1790297@136_22-1790297@136_8,1790297@136,Padilla-PBA,,0.456,"{Many,spectators,in,the,draft,event,at,the,PBA,head,office,in,Libis,"","",Quezon,City,were,surprised,with,the,selection,as,Padilla,was,not,part,of,the,153,players,who,submitted,their,application,for,the,draft,.}",22,1,8,1
10405385@9_20-10405385@9_7,10405385@9,Cyrille Cottin-Automobiles Cottin & Desgouttes,,0.348,"{They,decided,to,call,the,new,company,Automobiles,Cottin,&,Desgouttes,"","",Pierre,Desgoutte,acting,as,Technical,Director,"","",whereas,Cyrille,Cottin,would,manage,Sales,.}",20,2,7,4
6554800@26_13-6554800@26_50,6554800@26,Miyata-Lotus,,0.452,"{Throughout,the,U.S.,bike,boom,of,the,1970s,and,into,the,1980s,"","",Miyata,competed,with,American,companies,including,Schwinn,"","",Huffy,"","",and,Murray,;,European,companies,including,Raleigh,"","",Peugeot,and,Motobecane,as,well,as,other,nascent,Japanese,brands,including,Nishiki,"","",Fuji,"","",Bridgestone,"","",Centurion,"","",Lotus,and,Univega,whose,bikes,were,manufactured,by,Miyata,.}",13,1,50,1
263137@365_17-263137@365_22,263137@365,Lyons-Daimler,,0.338,"{Apart,from,the,DR450,limousine,"","",new,models,under,Lyons,control,were,the,result,of,negotiations,between,Lyons,and,the,executives,of,Daimler,distributor,Stratstone,Ltd.,.}",17,1,22,1
5713813@19_19-5713813@19_26,5713813@19,Tom Legs-Saturn & Orion,,0.514,"{They,also,feature,Mapex,2.3,mm,Steel,Powerhoops,and,Remo,UT,Pinstripe,batter,heads,along,with,Spring,Loaded,Floor,Tom,Legs,-LRB-,from,the,higher,end,Saturn,&,Orion,lines,-RRB-,.}",19,2,26,3
